yyyymm,INDEX
201501,"1,994.99"
201502,"2,104.50"
201503,"2,067.89"
201504,"2,085.51"
201505,"2,107.39"
201506,"2,063.11"
201507,"2,103.84"
201508,"1,972.18"
201509,"1,920.03"
201510,"2,079.36"
201511,"2,080.41"
201512,"2,043.94"
